id,date,price,bedrooms,sqft_lot,level
6762700020,2014-10-13,7700000.0,6,27600,high_standard
9808700762,2014-06-11,7062500.0,5,37325,high_standard
9208900037,2014-09-19,6885000.0,6,31374,high_standard
2470100110,2014-08-04,5570000.0,5,35069,high_standard
8907500070,2015-04-13,5350000.0,5,23985,high_standard
7558700030,2015-04-13,5300000.0,6,24829,high_standard
1247600105,2014-10-20,5110800.0,5,45517,high_standard
1924059029,2014-06-17,4668000.0,5,13068,high_standard
7738500731,2014-08-15,4500000.0,5,40014,high_standard
3835500195,2014-06-18,4489000.0,4,27517,high_standard
6065300370,2015-05-06,4208000.0,5,21540,high_standard
6447300265,2014-10-14,4000000.0,4,16573,high_standard
8106100105,2014-11-14,3850000.0,4,21300,high_standard
2303900100,2014-09-11,3800000.0,3,35000,high_standard
853200010,2014-07-01,3800000.0,5,42840,high_standard
7397300170,2014-05-30,3710000.0,4,28078,high_standard
4217402115,2015-04-21,3650000.0,6,19401,high_standard
4389201095,2015-05-11,3650000.0,5,8694,high_standard
2425049063,2014-09-11,3640900.0,4,22257,high_standard
3625049042,2014-10-11,3635000.0,5,19897,high_standard
4114601570,2014-11-18,3600000.0,3,12431,high_standard
9253900271,2015-01-07,3567000.0,5,10584,high_standard
2525049148,2014-10-07,3418800.0,5,20412,high_standard
9362000040,2014-06-23,3400000.0,3,17826,high_standard
1118000320,2015-05-08,3400000.0,4,11765,high_standard
3126059023,2015-03-03,3395000.0,4,47870,high_standard
9808100150,2015-04-02,3345000.0,5,15360,high_standard
3625059152,2014-12-30,3300000.0,3,41300,high_standard
1346300150,2014-10-20,3300000.0,8,11750,high_standard
3625059043,2014-09-04,3300000.0,5,13873,high_standard
6072800246,2014-07-02,3300000.0,5,21738,high_standard
7524900003,2014-12-10,3278000.0,2,10000,high_standard
251500080,2014-08-26,3204000.0,4,18851,high_standard
1068000375,2014-09-23,3200000.0,6,18200,high_standard
624069108,2014-08-12,3200000.0,4,28206,high_standard
8964800890,2015-01-09,3200000.0,3,13363,high_standard
7159200005,2014-05-07,3200000.0,7,8856,high_standard
3025059124,2014-08-28,3168750.0,5,11979,high_standard
333100295,2014-11-24,3120000.0,3,56609,high_standard
2424049029,2014-05-29,3100000.0,6,15682,high_standard
4131900066,2014-08-25,3100000.0,3,13085,high_standard
3025059093,2014-07-29,3100000.0,5,23669,high_standard
3225069065,2014-06-24,3075000.0,4,18641,high_standard
3760500116,2014-11-20,3070000.0,3,55867,high_standard
1732800780,2015-02-12,3065000.0,5,7500,high_standard
1118000340,2015-04-08,3000000.0,5,11265,high_standard
3761100045,2014-06-18,3000000.0,4,12445,high_standard
518500480,2014-08-11,3000000.0,3,10756,high_standard
8964800330,2015-04-07,3000000.0,4,14823,high_standard
9808100100,2015-02-02,3000000.0,5,14091,high_standard
1925059254,2015-05-07,2998000.0,5,16481,high_standard
3303850390,2014-12-12,2983000.0,5,18898,high_standard
1370800515,2014-10-30,2950000.0,4,5884,high_standard
3625049014,2014-08-29,2950000.0,4,23885,high_standard
2524049166,2014-09-18,2950000.0,5,47480,high_standard
6613000930,2014-09-02,2950000.0,4,25470,high_standard
1176001310,2015-03-04,2945000.0,5,5722,high_standard
5317100750,2014-07-11,2920000.0,4,24085,high_standard
2624049091,2015-03-13,2903000.0,5,91681,high_standard
7960900060,2015-05-04,2900000.0,4,20100,high_standard
6447300365,2014-11-13,2900000.0,5,14600,high_standard
7159200040,2014-09-17,2900000.0,4,4838,high_standard
1118000301,2014-12-19,2890000.0,4,7173,high_standard
2303900035,2014-06-11,2888000.0,5,64033,high_standard
5316101075,2014-09-26,2885000.0,7,14400,high_standard
2303900090,2014-07-29,2880500.0,4,32033,high_standard
6065300840,2015-05-01,2850000.0,4,17208,high_standard
1069000070,2015-04-15,2795000.0,5,12793,high_standard
7397300220,2014-05-29,2750000.0,4,21000,high_standard
3859900060,2015-01-12,2750000.0,5,16065,high_standard
624069035,2014-12-09,2750000.0,4,5575,high_standard
5249800010,2014-12-03,2725000.0,4,43838,high_standard
2525049086,2014-10-03,2720000.0,4,18115,high_standard
8043700300,2014-06-08,2700000.0,4,7850,high_standard
625059036,2014-08-13,2700000.0,5,27295,high_standard
5442300807,2014-06-24,2700000.0,5,13800,high_standard
2524069078,2015-01-22,2700000.0,4,89651,high_standard
856000195,2014-05-21,2700000.0,5,8401,high_standard
